"","Sample_Size","Power"
"355",364,0.146
"356",365,0.15
"357",366,0.154
"358",367,0.158
"359",368,0.162
"360",369,0.166
"361",370,0.17
"362",371,0.163
"363",372,0.156
"364",373,0.149
"365",374,0.142
"366",375,0.135
"367",376,0.128
"368",377,0.121
"369",378,0.114
"370",379,0.107
"371",380,0.1
"372",381,0.104
"373",382,0.108
"374",383,0.112
"375",384,0.116
"376",385,0.12
"377",386,0.124
"378",387,0.128
"379",388,0.132
"380",389,0.136
"381",390,0.14
"382",391,0.143
"383",392,0.146
"384",393,0.149
"385",394,0.152
"386",395,0.155
"387",396,0.158
"388",397,0.161
"389",398,0.164
"390",399,0.167
"391",400,0.17
"392",401,0.162
"393",402,0.154
"394",403,0.146
"395",404,0.138
"396",405,0.13
"397",406,0.122
"398",407,0.114
"399",408,0.106
"400",409,0.098
"401",410,0.09
"402",411,0.096
"403",412,0.102
"404",413,0.108
"405",414,0.114
"406",415,0.12
"407",416,0.126
"408",417,0.132
"409",418,0.138
"410",419,0.144
"411",420,0.15
"412",421,0.152
"413",422,0.154
"414",423,0.156
"415",424,0.158
"416",425,0.16
"417",426,0.162
"418",427,0.164
"419",428,0.166
"420",429,0.168
"421",430,0.17
"422",431,0.168
"423",432,0.166
"424",433,0.164
"425",434,0.162
"426",435,0.16
"427",436,0.158
"428",437,0.156
"429",438,0.154
"430",439,0.152
"431",440,0.15
"432",441,0.145
"433",442,0.14
"434",443,0.135
"435",444,0.13
"436",445,0.125
"437",446,0.12
"438",447,0.115
"439",448,0.11
"440",449,0.105
"441",450,0.1
"442",451,0.115
"443",452,0.13
"444",453,0.145
"445",454,0.16
"446",455,0.175
"447",456,0.19
"448",457,0.205
"449",458,0.22
"450",459,0.235
"451",460,0.25
"452",461,0.233
"453",462,0.216
"454",463,0.199
"455",464,0.182
"456",465,0.165
"457",466,0.148
"458",467,0.131
"459",468,0.114
"460",469,0.097
"461",470,0.08
"462",471,0.088
"463",472,0.096
"464",473,0.104
"465",474,0.112
"466",475,0.12
"467",476,0.128
"468",477,0.136
"469",478,0.144
"470",479,0.152
"471",480,0.16
"472",481,0.15
"473",482,0.14
"474",483,0.13
"475",484,0.12
"476",485,0.11
"477",486,0.1
"478",487,0.09
"479",488,0.08
"480",489,0.07
"481",490,0.06
"482",491,0.065
"483",492,0.07
"484",493,0.075
"485",494,0.08
"486",495,0.085
"487",496,0.09
"488",497,0.095
"489",498,0.1
"490",499,0.105
"491",500,0.11
"492",501,0.1092
"493",502,0.1084
"494",503,0.1076
"495",504,0.1068
"496",505,0.106
"497",506,0.1052
"498",507,0.1044
"499",508,0.1036
"500",509,0.1028
"501",510,0.102
"502",511,0.1012
"503",512,0.1004
"504",513,0.0996
"505",514,0.0988
"506",515,0.098
"507",516,0.0972
"508",517,0.0964
"509",518,0.0956
"510",519,0.0948
"511",520,0.094
"512",521,0.0932
"513",522,0.0924
"514",523,0.0916
"515",524,0.0908
"516",525,0.09
"517",526,0.0892
"518",527,0.0884
"519",528,0.0876
"520",529,0.0868
"521",530,0.086
"522",531,0.0852
"523",532,0.0844
"524",533,0.0836
"525",534,0.0828
"526",535,0.082
"527",536,0.0812
"528",537,0.0804
"529",538,0.0796
"530",539,0.0788
"531",540,0.078
"532",541,0.0772
"533",542,0.0764
"534",543,0.0756
"535",544,0.0748
"536",545,0.074
"537",546,0.0732
"538",547,0.0724
"539",548,0.0716
"540",549,0.0708
"541",550,0.07
"542",551,0.0708
"543",552,0.0716
"544",553,0.0724
"545",554,0.0732
"546",555,0.074
"547",556,0.0748
"548",557,0.0756
"549",558,0.0764
"550",559,0.0772
"551",560,0.078
"552",561,0.0788
"553",562,0.0796
"554",563,0.0804
"555",564,0.0812
"556",565,0.082
"557",566,0.0828
"558",567,0.0836
"559",568,0.0844
"560",569,0.0852
"561",570,0.086
"562",571,0.0868
"563",572,0.0876
"564",573,0.0884
"565",574,0.0892
"566",575,0.09
"567",576,0.0908
"568",577,0.0916
"569",578,0.0924
"570",579,0.0932
"571",580,0.094
"572",581,0.0948
"573",582,0.0956
"574",583,0.0964
"575",584,0.0972
"576",585,0.098
"577",586,0.0988
"578",587,0.0996
"579",588,0.1004
"580",589,0.1012
"581",590,0.102
"582",591,0.1028
"583",592,0.1036
"584",593,0.1044
"585",594,0.1052
"586",595,0.106
"587",596,0.1068
"588",597,0.1076
"589",598,0.1084
"590",599,0.1092
"591",600,0.11
