"","Sample_Size","Power"
"355",364,0.092
"356",365,0.1
"357",366,0.108
"358",367,0.116
"359",368,0.124
"360",369,0.132
"361",370,0.14
"362",371,0.136
"363",372,0.132
"364",373,0.128
"365",374,0.124
"366",375,0.12
"367",376,0.116
"368",377,0.112
"369",378,0.108
"370",379,0.104
"371",380,0.1
"372",381,0.1
"373",382,0.1
"374",383,0.1
"375",384,0.1
"376",385,0.1
"377",386,0.1
"378",387,0.1
"379",388,0.1
"380",389,0.1
"381",390,0.1
"382",391,0.102
"383",392,0.104
"384",393,0.106
"385",394,0.108
"386",395,0.11
"387",396,0.112
"388",397,0.114
"389",398,0.116
"390",399,0.118
"391",400,0.12
"392",401,0.114
"393",402,0.108
"394",403,0.102
"395",404,0.096
"396",405,0.09
"397",406,0.084
"398",407,0.078
"399",408,0.072
"400",409,0.066
"401",410,0.06
"402",411,0.065
"403",412,0.07
"404",413,0.075
"405",414,0.08
"406",415,0.085
"407",416,0.09
"408",417,0.095
"409",418,0.1
"410",419,0.105
"411",420,0.11
"412",421,0.106
"413",422,0.102
"414",423,0.098
"415",424,0.094
"416",425,0.09
"417",426,0.086
"418",427,0.082
"419",428,0.078
"420",429,0.074
"421",430,0.07
"422",431,0.068
"423",432,0.066
"424",433,0.064
"425",434,0.062
"426",435,0.06
"427",436,0.058
"428",437,0.056
"429",438,0.054
"430",439,0.052
"431",440,0.05
"432",441,0.052
"433",442,0.054
"434",443,0.056
"435",444,0.058
"436",445,0.06
"437",446,0.062
"438",447,0.064
"439",448,0.066
"440",449,0.068
"441",450,0.07
"442",451,0.08
"443",452,0.09
"444",453,0.1
"445",454,0.11
"446",455,0.12
"447",456,0.13
"448",457,0.14
"449",458,0.15
"450",459,0.16
"451",460,0.17
"452",461,0.16
"453",462,0.15
"454",463,0.14
"455",464,0.13
"456",465,0.12
"457",466,0.11
"458",467,0.1
"459",468,0.09
"460",469,0.08
"461",470,0.07
"462",471,0.072
"463",472,0.074
"464",473,0.076
"465",474,0.078
"466",475,0.08
"467",476,0.082
"468",477,0.084
"469",478,0.086
"470",479,0.088
"471",480,0.09
"472",481,0.086
"473",482,0.082
"474",483,0.078
"475",484,0.074
"476",485,0.07
"477",486,0.066
"478",487,0.062
"479",488,0.058
"480",489,0.054
"481",490,0.05
"482",491,0.052
"483",492,0.054
"484",493,0.056
"485",494,0.058
"486",495,0.06
"487",496,0.062
"488",497,0.064
"489",498,0.066
"490",499,0.068
"491",500,0.07
"492",501,0.0704
"493",502,0.0708
"494",503,0.0712
"495",504,0.0716
"496",505,0.072
"497",506,0.0724
"498",507,0.0728
"499",508,0.0732
"500",509,0.0736
"501",510,0.074
"502",511,0.0744
"503",512,0.0748
"504",513,0.0752
"505",514,0.0756
"506",515,0.076
"507",516,0.0764
"508",517,0.0768
"509",518,0.0772
"510",519,0.0776
"511",520,0.078
"512",521,0.0784
"513",522,0.0788
"514",523,0.0792
"515",524,0.0796
"516",525,0.08
"517",526,0.0804
"518",527,0.0808
"519",528,0.0812
"520",529,0.0816
"521",530,0.082
"522",531,0.0824
"523",532,0.0828
"524",533,0.0832
"525",534,0.0836
"526",535,0.084
"527",536,0.0844
"528",537,0.0848
"529",538,0.0852
"530",539,0.0856
"531",540,0.086
"532",541,0.0864
"533",542,0.0868
"534",543,0.0872
"535",544,0.0876
"536",545,0.088
"537",546,0.0884
"538",547,0.0888
"539",548,0.0892
"540",549,0.0896
"541",550,0.09
"542",551,0.0888
"543",552,0.0876
"544",553,0.0864
"545",554,0.0852
"546",555,0.084
"547",556,0.0828
"548",557,0.0816
"549",558,0.0804
"550",559,0.0792
"551",560,0.078
"552",561,0.0768
"553",562,0.0756
"554",563,0.0744
"555",564,0.0732
"556",565,0.072
"557",566,0.0708
"558",567,0.0696
"559",568,0.0684
"560",569,0.0672
"561",570,0.066
"562",571,0.0648
"563",572,0.0636
"564",573,0.0624
"565",574,0.0612
"566",575,0.06
"567",576,0.0588
"568",577,0.0576
"569",578,0.0564
"570",579,0.0552
"571",580,0.054
"572",581,0.0528
"573",582,0.0516
"574",583,0.0504
"575",584,0.0492
"576",585,0.048
"577",586,0.0468
"578",587,0.0456
"579",588,0.0444
"580",589,0.0432
"581",590,0.042
"582",591,0.0408
"583",592,0.0396
"584",593,0.0384
"585",594,0.0372
"586",595,0.036
"587",596,0.0348
"588",597,0.0336
"589",598,0.0324
"590",599,0.0312
"591",600,0.03
