"","thres","n","snr","test","power"
"118",0.5,200,15.06,"URXOP1",1
"119",0.5,200,15.06,"URXOP3",0.92
"120",0.5,200,15.06,"URXOP5",0.23
"121",0.5,210,14.87,"URXOP2",0.99
"122",0.5,210,14.87,"URXOP4",0.12
"123",0.5,210,14.87,"URXOP6",0.8
"124",0.5,210,14.87,"URXOP1",1
"125",0.5,210,14.87,"URXOP3",0.95
"126",0.5,210,14.87,"URXOP5",0.24
"127",0.5,220,14.65,"URXOP2",0.99
"128",0.5,220,14.65,"URXOP4",0.1
"129",0.5,220,14.65,"URXOP6",0.88
"130",0.5,220,14.65,"URXOP1",1
"131",0.5,220,14.65,"URXOP3",0.97
"132",0.5,220,14.65,"URXOP5",0.18
"133",0.5,230,14.85,"URXOP2",0.99
"134",0.5,230,14.85,"URXOP4",0.08
"135",0.5,230,14.85,"URXOP6",0.85
"136",0.5,230,14.85,"URXOP1",1
"137",0.5,230,14.85,"URXOP3",0.96
"138",0.5,230,14.85,"URXOP5",0.16
"139",0.5,240,14.8,"URXOP2",0.99
"140",0.5,240,14.8,"URXOP4",0.11
"141",0.5,240,14.8,"URXOP6",0.84
"142",0.5,240,14.8,"URXOP1",1
"143",0.5,240,14.8,"URXOP3",0.98
"144",0.5,240,14.8,"URXOP5",0.17
"145",0.5,250,15,"URXOP2",1
"146",0.5,250,15,"URXOP4",0.06
"147",0.5,250,15,"URXOP6",0.83
"148",0.5,250,15,"URXOP1",1
"149",0.5,250,15,"URXOP3",0.99
"150",0.5,250,15,"URXOP5",0.14
"151",0.5,260,14.49,"URXOP2",1
"152",0.5,260,14.49,"URXOP4",0.05
"153",0.5,260,14.49,"URXOP6",0.8
"154",0.5,260,14.49,"URXOP1",1
"155",0.5,260,14.49,"URXOP3",0.99
"156",0.5,260,14.49,"URXOP5",0.13
"157",0.5,270,14.89,"URXOP2",1
"158",0.5,270,14.89,"URXOP4",0.09
"159",0.5,270,14.89,"URXOP6",0.79
"160",0.5,270,14.89,"URXOP1",1
"161",0.5,270,14.89,"URXOP3",1
"162",0.5,270,14.89,"URXOP5",0.18
"163",0.5,280,14.2,"URXOP2",1
"164",0.5,280,14.2,"URXOP4",0.04
"165",0.5,280,14.2,"URXOP6",0.73
"166",0.5,280,14.2,"URXOP1",1
"167",0.5,280,14.2,"URXOP3",1
"168",0.5,280,14.2,"URXOP5",0.1
"169",0.5,290,14.72,"URXOP2",1
"170",0.5,290,14.72,"URXOP4",0.04
"171",0.5,290,14.72,"URXOP6",0.76
"172",0.5,290,14.72,"URXOP1",1
"173",0.5,290,14.72,"URXOP3",1
"174",0.5,290,14.72,"URXOP5",0.09
"175",0.5,300,14.65,"URXOP2",1
"176",0.5,300,14.65,"URXOP4",0.07
"177",0.5,300,14.65,"URXOP6",0.77
"178",0.5,300,14.65,"URXOP1",1
"179",0.5,300,14.65,"URXOP3",0.98
"180",0.5,300,14.65,"URXOP5",0.09
"181",0.5,310,14.66,"URXOP2",1
"182",0.5,310,14.66,"URXOP4",0.02
"183",0.5,310,14.66,"URXOP6",0.78
"184",0.5,310,14.66,"URXOP1",1
"185",0.5,310,14.66,"URXOP3",0.99
"186",0.5,310,14.66,"URXOP5",0.12
"187",0.5,320,14.32,"URXOP2",1
"188",0.5,320,14.32,"URXOP4",0.07
"189",0.5,320,14.32,"URXOP6",0.73
"190",0.5,320,14.32,"URXOP1",1
"191",0.5,320,14.32,"URXOP3",1
"192",0.5,320,14.32,"URXOP5",0.07
"193",0.5,330,15.1,"URXOP2",1
"194",0.5,330,15.1,"URXOP4",0.04
"195",0.5,330,15.1,"URXOP6",0.72
"196",0.5,330,15.1,"URXOP1",1
"197",0.5,330,15.1,"URXOP3",1
"198",0.5,330,15.1,"URXOP5",0.1
"199",0.5,340,14.82,"URXOP2",1
"200",0.5,340,14.82,"URXOP4",0.03
"201",0.5,340,14.82,"URXOP6",0.69
"202",0.5,340,14.82,"URXOP1",1
"203",0.5,340,14.82,"URXOP3",1
"204",0.5,340,14.82,"URXOP5",0.07
"205",0.5,350,14.62,"URXOP2",1
"206",0.5,350,14.62,"URXOP4",0.02
"207",0.5,350,14.62,"URXOP6",0.72
"208",0.5,350,14.62,"URXOP1",1
"209",0.5,350,14.62,"URXOP3",1
"210",0.5,350,14.62,"URXOP5",0.12
"211",0.5,360,14.92,"URXOP2",1
"212",0.5,360,14.92,"URXOP4",0.02
"213",0.5,360,14.92,"URXOP6",0.63
"214",0.5,360,14.92,"URXOP1",1
"215",0.5,360,14.92,"URXOP3",1
"216",0.5,360,14.92,"URXOP5",0.06
