"","Sample_Size","Power"
"355",364,0.222
"356",365,0.225
"357",366,0.228
"358",367,0.231
"359",368,0.234
"360",369,0.237
"361",370,0.24
"362",371,0.235
"363",372,0.23
"364",373,0.225
"365",374,0.22
"366",375,0.215
"367",376,0.21
"368",377,0.205
"369",378,0.2
"370",379,0.195
"371",380,0.19
"372",381,0.188
"373",382,0.186
"374",383,0.184
"375",384,0.182
"376",385,0.18
"377",386,0.178
"378",387,0.176
"379",388,0.174
"380",389,0.172
"381",390,0.17
"382",391,0.173
"383",392,0.176
"384",393,0.179
"385",394,0.182
"386",395,0.185
"387",396,0.188
"388",397,0.191
"389",398,0.194
"390",399,0.197
"391",400,0.2
"392",401,0.198
"393",402,0.196
"394",403,0.194
"395",404,0.192
"396",405,0.19
"397",406,0.188
"398",407,0.186
"399",408,0.184
"400",409,0.182
"401",410,0.18
"402",411,0.185
"403",412,0.19
"404",413,0.195
"405",414,0.2
"406",415,0.205
"407",416,0.21
"408",417,0.215
"409",418,0.22
"410",419,0.225
"411",420,0.23
"412",421,0.228
"413",422,0.226
"414",423,0.224
"415",424,0.222
"416",425,0.22
"417",426,0.218
"418",427,0.216
"419",428,0.214
"420",429,0.212
"421",430,0.21
"422",431,0.212
"423",432,0.214
"424",433,0.216
"425",434,0.218
"426",435,0.22
"427",436,0.222
"428",437,0.224
"429",438,0.226
"430",439,0.228
"431",440,0.23
"432",441,0.224
"433",442,0.218
"434",443,0.212
"435",444,0.206
"436",445,0.2
"437",446,0.194
"438",447,0.188
"439",448,0.182
"440",449,0.176
"441",450,0.17
"442",451,0.171
"443",452,0.172
"444",453,0.173
"445",454,0.174
"446",455,0.175
"447",456,0.176
"448",457,0.177
"449",458,0.178
"450",459,0.179
"451",460,0.18
"452",461,0.176
"453",462,0.172
"454",463,0.168
"455",464,0.164
"456",465,0.16
"457",466,0.156
"458",467,0.152
"459",468,0.148
"460",469,0.144
"461",470,0.14
"462",471,0.146
"463",472,0.152
"464",473,0.158
"465",474,0.164
"466",475,0.17
"467",476,0.176
"468",477,0.182
"469",478,0.188
"470",479,0.194
"471",480,0.2
"472",481,0.192
"473",482,0.184
"474",483,0.176
"475",484,0.168
"476",485,0.16
"477",486,0.152
"478",487,0.144
"479",488,0.136
"480",489,0.128
"481",490,0.12
"482",491,0.124
"483",492,0.128
"484",493,0.132
"485",494,0.136
"486",495,0.14
"487",496,0.144
"488",497,0.148
"489",498,0.152
"490",499,0.156
"491",500,0.16
